"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"1",0,0,0,0,0,0,0,0,0
"2",9,3,3,5,0.0295843850701731,0.0300261273540981,0.0277588079351541,0.0625835608718264,0.0297556551028846
"3",9,3,3,10,0.0273948294186142,0.0289935056212122,0.0264623252891679,0.0295938306570158,0.0288800292642984
"4",9,3,3,30,0.0275021608364042,0.0284336808191125,0.0264966593339335,0.0282249649777594,0.025398662189422
"5",9,3,3,50,0.0255016612827296,0.0270271876334787,0.0287618681634659,0.0266942633165331,0.0258418975779379
"6",9,3,3,70,0.0262681261370598,0.025981837081974,0.0265207438102072,0.0255550557525474,0.0259388474422743
"7",9,3,3,90,0.0287969828328725,0.0270265991008635,0.0263210747818881,0.0262585879039449,0.0261640169111205
"8",2,2,1,5,0.0444891387581237,0.0195014373946456,0.0195007741893199,0.020150998178916,0.0189235146718911
"9",2,2,1,10,0.0168702490060457,0.0169820273039122,0.0195016945453304,0.0168850006386982,0.0170548949582722
"10",2,2,1,30,0.0168626095611936,0.0168206908789425,0.0171425752733018,0.0168130949609462,0.0172331325947122
"11",2,2,1,50,0.0170661465530124,0.0169381788165451,0.0168645700195347,0.0167716612075401,0.0169647540829497
"12",2,2,1,70,0.0170457909735147,0.0171536907298096,0.0169204503081281,0.0169873217886424,0.0171425989253228
"13",2,2,1,90,0.0169926236209147,0.016994671715693,0.0175344795762504,0.0169638748034127,0.017136302338366
"14",5,2,2,5,0.0202031368175118,0.0461641007799704,0.0232480578951722,0.0461640080356141,0.0206736282563637
"15",5,2,2,10,0.0207699373434974,0.0265137570209416,0.0461642744435462,0.0207878813217502,0.0210493213156603
"16",5,2,2,30,0.0210767624163977,0.0219904891704138,0.0208570668173087,0.0209183611448457,0.0211904658442972
"17",5,2,2,50,0.0208314873392169,0.0207418155204011,0.0208405600395233,0.0201243902190033,0.0195405327049008
"18",5,2,2,70,0.0207867667495223,0.0210092505751506,0.021580052114333,0.0202447166394704,0.0205432901217215
"19",5,2,2,90,0.0211324786441011,0.0211800303326858,0.0213781880898441,0.0221523785283364,0.0206742193887792
"20",7,1,3,5,0.0496572320397907,0.024169140070095,0.0241929282367284,0.0239413392962394,0.0496579178483908
"21",7,1,3,10,0.0496589655475204,0.0239312798936857,0.0496575523531218,0.0245069421516568,0.0242103229800256
"22",7,1,3,30,0.0240564677078677,0.0237603795088118,0.0235782092014456,0.0238700565161892,0.0244574423103592
"23",7,1,3,50,0.0237126269482312,0.0240939209377491,0.0234855381625611,0.0243089869008908,0.0244723798784858
"24",7,1,3,70,0.0236908324025008,0.0234993099311779,0.0240717133295812,0.0239693834122013,0.0240541987372294
"25",7,1,3,90,0.0240510565606408,0.0243846671423729,0.023483893136105,0.0235471286774776,0.0234836807479281
"26",1,1,1,5,0.053478120936876,0.0534792744191922,0.0534798993682375,0.0534799865126413,0.0339707900488587
"27",1,1,1,10,0.0305058557934156,0.0339727767464098,0.0294289360370965,0.0291008021689208,0.0297002492160204
"28",1,1,1,30,0.0292994000185309,0.029369168275105,0.0297521442481782,0.0297868607328097,0.0289235225884066
"29",1,1,1,50,0.0290987796943247,0.0297058937150442,0.0286186701545099,0.0294306907705449,0.0295260597012226
"30",1,1,1,70,0.0286628063487591,0.0293304740848161,0.0299362693383273,0.0292991955136007,0.028933754727474
"31",1,1,1,90,0.0296479227118201,0.0299704625723996,0.0292114771837548,0.0302565253537297,0.0296364731973039
"32",6,3,2,5,0.0157796140611448,0.0304161330213308,0.014987368757168,0.0304160517741068,0.0172713075208264
"33",6,3,2,10,0.0304174967636738,0.0162029461018134,0.0178445186958002,0.0164402349599321,0.015549908621471
"34",6,3,2,30,0.0166642752313418,0.0140231642351621,0.014560206799824,0.0149896635912049,0.0150366975735015
"35",6,3,2,50,0.0145554827295361,0.0163449918116963,0.0161285063840905,0.0147405170702848,0.0147259812223327
"36",6,3,2,70,0.01589638769773,0.0147631583510005,0.0143630128543397,0.0145644997023273,0.0150692814429677
"37",6,3,2,90,0.0146052153492937,0.0155333580709268,0.0158917397206048,0.0157769877793348,0.0152235803243114
"38",4,1,2,5,0.029313368552165,0.0506202434780537,0.0291806199673226,0.0506205999508359,0.0297207721742603
"39",4,1,2,10,0.0291413963740264,0.0282550014753631,0.029741036633101,0.029187259501165,0.0288909812961016
"40",4,1,2,30,0.0284390547967304,0.0291195880600438,0.029211885906493,0.0290610889741823,0.0297321741336317
"41",4,1,2,50,0.0291956898766645,0.0286213903556182,0.0292419980633559,0.0297073099235087,0.0284714726322932
"42",4,1,2,70,0.0297008725667259,0.029133846477147,0.0289253934698729,0.0289729734989724,0.029205819307682
"43",4,1,2,90,0.0288218177396922,0.0291104192865792,0.0291823483373679,0.0297872021661221,0.0286822192623644
"44",3,3,1,5,0.0155893777956695,0.0175766837125982,0.0163689237529942,0.0265352238716952,0.0175983343319909
"45",3,3,1,10,0.0148407987047463,0.0142451537628869,0.0158831443388991,0.026534662820872,0.0131916971040941
"46",3,3,1,30,0.0130541496024981,0.0137044318532918,0.013355963915759,0.015588360554409,0.0143788345555068
"47",3,3,1,50,0.0129725384721354,0.0127833813712536,0.0130149782878398,0.0130534630227638,0.0154020650890794
"48",3,3,1,70,0.0132531586306463,0.0137712696491301,0.0145844222825536,0.015126405137385,0.0141398919968207
"49",3,3,1,90,0.0127191034516429,0.0133212183049684,0.0145947634170098,0.0147769924095599,0.0150833712210883
"50",8,2,3,5,0.0192224092322146,0.0591994385979208,0.0198906532506862,0.0198903033913939,0.0195989238556781
"51",8,2,3,10,0.0591994385979208,0.0198908295228825,0.0198903962682755,0.0198906390765904,0.059199121693373
"52",8,2,3,30,0.0195373437504751,0.0195960402160692,0.0194644962462372,0.0193816461794431,0.0199803714716794
"53",8,2,3,50,0.0190806231272226,0.0189085838452787,0.0188035327558948,0.0198793817173999,0.0188362283484746
"54",8,2,3,70,0.019290294879798,0.0194986361835622,0.0188416917742214,0.0194977484621682,0.0190239817654391
"55",8,2,3,90,0.0186381850511393,0.019043351849128,0.0189933695009179,0.0189517706223684,0.0190497218626595
